External ID,ID,Display Name,Quantity,Cost,Value
__export__.product_product_24383_24db1762,24383,"Ironman Key Chain, Part # KEY001",600,6.37,610.74
__export__.product_product_24388_e59680b8,24388,"Ironman Small Sticker - 16x4cm, Part # STICKER01",2000,12.73,2351.9
__export__.product_product_24081_5b5c6a78,24081,Oxygen Mask - Adult,1430,50.58,1430
__export__.product_product_18792_982456bf,18792,P-799-CIRDK SET OF ROLLER LID SPRING CB-799,9,152.4859,1372.373205
__export__.product_product_27299_190f9b78,27299,[R1] Resin A,48762,207.6095,11278448.97
__export__.product_product_24966_200f773a,24966,"Decoroof ""H"" Section, Length - 6.0 Meters Long, Colour - Butter Scotch",110,270,110
__export__.product_product_24968_51bbc3a7,24968,"Decoroof ""H"" Section, Length - 6.0 Meters Long, Colour - Cream",127,270,127
__export__.product_product_24971_7d7fefac,24971,"Decoroof ""H"" Section, Length - 6.0 Meters Long, Colour - White",95,270,95
__export__.product_product_24953_341e8c00,24953,"Decoroof I.T.5 Profile Corrugated Ridge Caps, Colour - Opaque Blue",154,275,154
__export__.product_product_24671_dde95115,24671,Wheel Lock Nuts (Set) - 14 x 1.5mm,246,279.02,3026.2
__export__.product_product_24947_4ed1cdd8,24947,"Decoroof I.T.5 Profile Corrugated Ridge Cap, Colour - ASA White",1349,306,1349
__export__.product_product_24957_6f28a639,24957,"Decoroof I.T.5 Profile Corrugated Ridge Caps, Colour - Charcoal Grey",157,306,157
__export__.product_product_24944_9eee3a09,24944,"Decoroof I.T.5 Profile Corrugated Ridge Cap, Colour - ASA Brown",631,324,631
__export__.product_product_24946_1f9f548c,24946,"Decoroof I.T.5 Profile Corrugated Ridge Cap, Colour - ASA Green",51,324,51
__export__.product_product_25091_67693eb8,25091,11/3 CLEAR RIDGE CAPS,668,350,668
__export__.product_product_25092_1372a9ae,25092,11/3 CLEARSOL BLUE RIDGE CAPS,356,350,356
__export__.product_product_25093_6d789f8e,25093,11/3 CLEARSOL GREEN RIDGE CAPS,260,350,260
__export__.product_product_25094_2a765795,25094,11/3 CLEARSOL ORANGE RIDGE CAPS,128,350,128
__export__.product_product_25095_ecc4c402,25095,11/3 CLEARSOL RED RIDGE CAPS,300,350,300
__export__.product_product_24936_70f2a267,24936,"Decoroof 11/3 Profile Corrugated Ridge Caps, Colour - Clear",961,350,961
__export__.product_product_24932_dff757eb,24932,"Decoroof 11/3 Profile Corrugated Ridge Caps, Colour - Clearsol Blue",358,350,358
__export__.product_product_24933_cbc70838,24933,"Decoroof 11/3 Profile Corrugated Ridge Caps, Colour - Clearsol Green",262,350,262
__export__.product_product_24934_076d369a,24934,"Decoroof 11/3 Profile Corrugated Ridge Caps, Colour - Clearsol Orange",128,350,128
__export__.product_product_24935_699a5456,24935,"Decoroof 11/3 Profile Corrugated Ridge Caps, Colour - Clearsol Red",298,350,298
__export__.product_product_24937_dbe302ee,24937,"Decoroof 11/3 Profile Corrugated Ridge Caps, Colour - Opaque Blue",240,350,240
__export__.product_product_24938_16d6697e,24938,"Decoroof 11/3 Profile Corrugated Ridge Caps, Colour - Opaque Brick Red",59,350,59
__export__.product_product_24939_da2d45ae,24939,"Decoroof 11/3 Profile Corrugated Ridge Caps, Colour - Opaque Brown",207,350,207
__export__.product_product_24930_fc34530b,24930,"Decoroof 11/3 Profile Corrugated Ridge Caps, Colour - Opaque Canvas Green",22,350,22
__export__.product_product_24940_55fda658,24940,"Decoroof 11/3 Profile Corrugated Ridge Caps, Colour - Opaque Green",365,350,365
__export__.product_product_24941_25cdc277,24941,"Decoroof 11/3 Profile Corrugated Ridge Caps, Colour - White",861,350,861
__export__.product_product_24931_0f2b1943,24931,"Decoroof 11/3 Profile Corrugated Ridge Caps, Colour - Charcoal Grey",119,380,119
__export__.product_product_24379_70987e23,24379,"Ironman 110cm x 65cm Aluminium Outdoor Sign, Part # IOUTDOORSIGN001",8,381.93,8
__export__.product_product_25265_a02bb608,25265,"Decoroof Ceiling ""U"" Section, Length - 6.0 Meters Long, Colour -  Almond",3,385,3
__export__.product_product_25268_f296b0ad,25268,"Decoroof Ceiling ""U"" Section, Length - 6.0 Meters Long, Colour -  Cream",19,385,19
__export__.product_product_25269_dc03212a,25269,"Decoroof Ceiling ""U"" Section, Length - 6.0 Meters Long, Colour -  White",40,385,2
__export__.product_product_25267_ab372e6e,25267,"Decoroof Ceiling ""U"" Section, Length - 6.0 Meters Long, Colour - Clear",356,385,356
__export__.product_product_25266_00fb4b2e,25266,"Decoroof Ceiling ""U"" Section, Length - 6.0 Meters Long, Colour -BIRCH",164,385,164
__export__.product_product_25203_2214a737,25203,DECOROOF:ROOFING SHEETS:IT5 PROFILE SHEETS:IT5 CANVAS GREEN - 1.2mm:1.0M,2,405,2
__export__.product_product_24942_bfabcd02,24942,"Decoroof I.T.5 Profile Corrugated Ridge Cap, Colour - ASA Blue",251,450,251
__export__.product_product_24943_15cded05,24943,"Decoroof I.T.5 Profile Corrugated Ridge Cap, Colour - ASA Brick Red",159,450,159
__export__.product_product_24945_93ef9ce4,24945,"Decoroof I.T.5 Profile Corrugated Ridge Cap, Colour - ASA Coke Red",271,450,271
